"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
106506,106423,"Higher Folds Primary School","Parent","01-09-2011"
106523,144245,"Bedford High School","Child","31-03-2017"
106614,144037,"Hunningley Primary School","Child","31-03-2017"
106666,135500,"The Gateway Centre","Expansion","01-09-2014"
106670,106669,"Adwick Park Junior School","Parent","31-12-2012"
106683,106682,"Mexborough Doncaster Road Junior School","Parent","23-12-2015"
106721,144348,"Scawsby Rosedale Primary School","Child","20-01-2017"
106751,127606,"New Village First School","Parent",""
106751,127605,"New Village Middle School","Parent",""
106752,127621,"Bentley High Street First School","Parent",""
106752,127622,"Bentley High Street Middle School","Parent",""
106753,127617,"Tranmoor Junior School","Parent",""
106753,127619,"Tranmoor Lane Infant School","Parent",""
106756,127614,"Warmsworth Middle School","Parent",""
106756,127624,"Warmsworth First School","Parent",""
106757,127602,"Carcroft Middle School","Parent",""
106757,127603,"Carcroft First School","Parent",""
106758,127608,"Edlington Victoria Middle School","Parent",""
106758,127609,"Victoria First School","Parent",""
106758,144347,"Edlington Victoria Primary School","Child","20-01-2017"
106765,144345,"Rossington St Michael's CofE Primary School","Child","20-01-2017"
106766,130301,"Hatfield Manor CofE Junior School","Parent","01-09-2011"
106777,127631,"Tickhill CofE Middle School","Parent",""
106777,127618,"Tickhill First School","Parent",""
106833,106832,"Badsley Moor Junior School","Result of Amalgamation","01-01-2014"
106835,106836,"Broom Valley Infant School","Parent",""
106844,106843,"Redscope Junior School","Parent",""
106850,106923,"Thorpe Hesley Infant School","Result of Amalgamation","01-09-2014"
106853,106852,"Roughwood Junior School","Parent",""
106870,106869,"Maltby Crags Junior School","Parent","01-09-2010"
106870,143481,"Crags Community School","Child","30-09-2016"
106887,140170,"Wath Victoria Primary School","Child","11-09-2013"
106893,106886,"Wath Park Infant School","Parent",""
106893,143544,"Wath Central Primary","Child","14-09-2016"
106932,143480,"Wath CofE (A) Primary School","Child","30-09-2016"
106936,106935,"Brampton Ellis CofE Junior School","Result of Amalgamation","02-06-2014"
106947,143545,"Clifton Community School","Child","14-09-2016"
107234,107228,"Usher Street Primary School and Nursery","Parent",""
107243,144051,"Cavendish Primary School","Child","31-03-2017"
107273,107284,"Hothfield Junior School","Parent","01-09-2017"
107284,107273,"Aire View Infant School","Child","31-08-2017"
107440,142628,"Hanson Academy","Child","02-02-2016"
107534,127756,"Stanningley Green Junior School","Parent",""
107534,127758,"Ash Tree Infants' School","Parent",""
107541,127763,"Luddenden CofE Infants' School","Parent",""
107541,127761,"Luddendenfoot CofE Junior and Infant School","Parent",""
107541,127762,"Luddenden (Controlled) CofE Junior Mixed School","Parent",""
107561,143115,"Park Lane Learning Trust","Child","16-07-2016"
107613,107603,"Knowles Hill Infant and Nursery School","Parent","01-04-2013"
107628,107627,"Ashbrow Junior School","Parent","01-09-2012"
107652,143230,"Skelmanthorpe First and Nursery School","Child","31-08-2016"
107688,107594,"Denby Dale Nursery School","Result of Amalgamation","31-12-2014"
107697,127782,"Wellhouse Mirfield First School","Parent",""
107697,127797,"Wellhouse Middle School","Parent",""
107702,107595,"Savile Town Nursery School","Parent",""
107730,127780,"Birkenshaw County First School","Parent",""
107743,143232,"Scissett Church of England Voluntary Aided First School","Child","31-08-2016"
107755,107692,"Beech Primary School","Parent - merged","01-03-2015"
107758,107629,"Greenside Infant and Nursery School","Parent","01-05-2014"
107775,107774,"Birkdale High School","Parent","01-09-2011"
107778,127795,"Liversedge Secondary School","Parent",""
107778,127796,"Heckmondwike Secondary School","Parent",""
107780,107779,"Grylls Community Middle School","Parent",""
107780,107781,"Gomersal Church of England Voluntary Controlled Middle School","Parent","01-09-2012"
107780,107762,"West End Middle School","Parent","01-09-2012"
107780,107772,"Whitechapel Middle School","Parent",""
107927,108040,"Mount St Mary's Catholic Primary School","Parent","31-08-2010"
107981,127897,"Farsley Farfield Infant School","Parent",""
107981,127891,"Farsley Farfield Junior School","Parent",""
107982,127889,"Rothwell West Junior School","Parent",""
107982,127890,"Rothwell Infant School","Parent",""
107990,107991,"Woodside Infant School","Parent",""
108039,108038,"St Gregory's Catholic Primary School","Parent",""
108058,127948,"Allerton Grange Middle School","Parent",""
108058,127949,"Allerton Grange School","Parent",""
108081,142816,"Royds School","Child","19-04-2016"
108097,108098,"St Michael's Catholic College","Parent",""
108226,144237,"Wrenthorpe Primary School","Child","31-03-2017"
108247,108136,"Stanley Nursery School","Parent",""
108270,108220,"Wakefield Castle Grove Infant School","Parent - merged","31-08-2014"
108356,108341,"Marley Hill Community Primary School","Parent","01-01-2011"
108379,128096,"Fell Dyke Infants' School","Parent",""
108379,128097,"Fell Dyke Junior School","Parent",""
108380,128094,"Alexandra Road Infant School","Parent",""
108380,128093,"Whitehall Road Junior School","Parent",""
108398,108397,"St John the Baptist Roman Catholic Primary School","Parent","01-09-2011"
108458,128118,"Bolam Street Primary School","Parent",""
108458,128129,"Raby Street Primary School","Parent",""
108466,108433,"Valley View Nursery School","Parent",""
108468,108469,"Broadwood Infant School","Parent",""
108470,144272,"Tyneview Primary School","Child","31-03-2017"
108478,108479,"Walkergate Infant School","Parent",""
108478,108432,"Walkergate Early Years Centre","Parent","01-10-2015"
108565,134025,"Primary Resource Provision","Parent",""
108571,144149,"Waterville Primary School","Child","31-03-2017"
108647,144279,"Seaton Burn College, A Specialist Business and Enterprise School","Child","20-01-2017"
108726,144204,"Harton Technology College","Child","31-03-2017"
108738,108739,"Margaret Sutton School","Parent","01-09-2012"
108759,143363,"Diamond Hall Junior School","Child","31-08-2016"
108765,108744,"St Columba's Nursery School","Parent",""
108816,144226,"Biddick Primary School","Child","31-03-2017"
108832,128202,"Hylton Castle Junior School","Parent",""
108832,128203,"Hylton Castle Infants' School","Parent",""
108833,128197,"Blackfell Infant School","Parent",""
108833,128196,"Blackfell Junior School","Parent",""
108835,128199,"Barmston Junior School","Parent",""
108835,128198,"Barmston Infant School","Parent",""
108892,135615,"Corner House Unit","Parent","01-09-2009"
108975,108974,"Holymead Junior School","Parent","31-03-2013"
109000,142716,"Moorlands Junior School","Child","31-03-2016"
109005,109004,"Southdown Junior School","Parent","13-04-2015"
109079,144283,"Chandag Infant School","Child","28-02-2017"
109115,143991,"Mary Elton Primary School","Child","31-01-2017"
109137,128223,"Baptist Mills Infant School","Parent",""
109137,128222,"Baptist Mills Junior School","Parent",""
109139,128217,"Doncaster Road Junior School","Parent",""
109139,128218,"Doncaster Road Infants' School","Parent",""
109192,144281,"Farrington Gurney Church of England Primary School","Child","28-02-2017"
109199,144282,"Marksbury CofE Primary School","Child","28-02-2017"
109211,109193,"St Katharine's Church of England Primary School","Parent","01-09-2010"
